statistic_name,stage_t,mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,B_boot
intercept_gap_sims,14,125.40638143896264,107.64467101201346,144.52717933475424,20260913,2000
intercept_gap_sims,15,136.79587728233867,117.87817864439835,156.30207549288951,20260913,2000
intercept_gap_sims,16,133.8422487300956,117.03532858861082,152.59077278740799,20260913,2000
intercept_gap_sims,17,136.88593605545162,119.04887039887149,157.11842441753723,20260913,2000
intercept_gap_sims,18,125.66751175250381,108.69154340161124,143.77195172363514,20260913,2000
intercept_gap_sims,19,114.2715842668709,97.86726758474275,131.47375630610668,20260913,2000
intercept_gap_sims,20,131.38591735397446,113.23777705528963,151.11069520538646,20260913,2000
intercept_gap_sims,21,128.0151022828149,111.3242350331066,146.4039812341979,20260913,2000
intercept_gap_sims,22,107.72681457417566,91.55634903053141,125.40125770206653,20260913,2000
intercept_gap_sims,23,106.50441645951597,90.78914587563615,122.66893524889959,20260913,2000
intercept_gap_sims,24,114.69368166464946,100.14145014072007,130.77632749399433,20260913,2000
intercept_gap_sims,25,117.23889918477369,101.83632513137532,134.66645466264856,20260913,2000
intercept_gap_sims,26,105.29110226001532,91.26196762771002,120.58062867766023,20260913,2000
intercept_gap_sims,27,96.85237096760943,84.10849444004155,110.98182577306515,20260913,2000
intercept_gap_sims,28,96.77223269448817,83.88566512001624,110.82765455570738,20260913,2000
intercept_gap_sims,29,91.30998955938323,79.53937643536821,104.38515420267942,20260913,2000
intercept_gap_sims,30,89.11507758561513,77.2628802604102,102.31401942239638,20260913,2000
intercept_gap_sims,31,86.18459959260541,73.56930505518278,99.12420227602391,20260913,2000
intercept_gap_sims,32,84.79938086392353,73.91511358106962,96.53038926202187,20260913,2000
intercept_gap_sims,33,95.42697758589571,83.14733808946907,108.84302101184338,20260913,2000
intercept_gap_sims,34,82.63104085362183,71.22387496048673,93.65142074831728,20260913,2000
intercept_gap_sims,35,65.09957176408152,56.19522067114099,74.88616022926756,20260913,2000
intercept_gap_sims,36,73.77955671020027,64.11065804329552,84.25883620412684,20260913,2000
intercept_gap_sims,37,73.72419019,63.807134716939146,84.50719044582995,20260913,2000
intercept_gap_sims,38,64.72327423925745,56.101836250192214,73.67321221742205,20260913,2000
intercept_gap_sims,39,55.60824674741515,48.312849999307566,63.205832627941085,20260913,2000
intercept_gap_sims,40,61.74317215422186,53.466597901589495,70.59009651516517,20260913,2000
intercept_gap_sims,41,53.10358079603704,46.38162656528915,60.73566952637359,20260913,2000
intercept_gap_sims,42,46.795800278089594,39.849315205025235,54.070923727459075,20260913,2000
intercept_gap_sims,43,39.45327697671213,34.25887060756217,45.281233664091765,20260913,2000
intercept_gap_sims,44,30.518829448930955,26.2832309045138,34.98428115542054,20260913,2000
intercept_gap_sims,45,29.299336330100086,25.30356211202751,33.67629080961028,20260913,2000
intercept_gap_sims,46,24.93203895799193,21.698991307059913,28.28799540975165,20260913,2000
intercept_gap_sims,47,21.367657792783913,18.744193247798005,24.18907663965923,20260913,2000
intercept_gap_sims,48,13.865882512715434,12.004182043803034,15.838909680040876,20260913,2000
intercept_gap_sims,49,3.7858638133642373,3.218505622158052,4.418629867608979,20260913,2000
slope_gap_sims,0,6.310126467298184,6.095563214343234,6.517782096357652,20260913,2000
slope_gap_sims,1,5.285128293408335,5.095473739056021,5.495588116198411,20260913,2000
slope_gap_sims,2,8.660698723659825,7.623876361434296,9.854060641030685,20260913,2000
slope_gap_sims,3,11.729121450410597,9.991198758779817,13.632667254807725,20260913,2000
slope_gap_sims,4,14.239926949462992,12.317658924133315,16.200223187866563,20260913,2000
slope_gap_sims,5,14.360659769177063,12.483052307752427,16.34010895493312,20260913,2000
slope_gap_sims,6,17.925425899334883,15.555028823156775,20.427723264505975,20260913,2000
slope_gap_sims,7,17.257715678422272,15.144228896658612,19.339623952196174,20260913,2000
slope_gap_sims,8,18.666296063200594,16.19283737284272,21.24318140592406,20260913,2000
slope_gap_sims,9,18.300483336926114,16.033429380215306,20.53652125063516,20260913,2000
slope_gap_sims,10,16.549788007119776,14.426584660965071,18.796521292926485,20260913,2000
slope_gap_sims,11,18.326564329560995,16.060036110735936,20.83106301759575,20260913,2000
slope_gap_sims,12,19.581503116157084,17.051449225890856,22.217977301571292,20260913,2000
slope_gap_sims,13,19.00393132065075,16.84665979392064,21.287174440858234,20260913,2000
slope_gap_sims,14,19.3646232797907,17.17680083350135,21.83394968223196,20260913,2000
slope_gap_sims,15,20.781623843782285,18.411332434637327,23.379624441509264,20260913,2000
slope_gap_sims,16,20.444589667422743,18.20629093448679,22.96670733004563,20260913,2000
slope_gap_sims,17,21.309761086354108,19.019836814074804,24.005706756469497,20260913,2000
slope_gap_sims,18,20.604258385541534,18.27062763602907,22.979495433381658,20260913,2000
